Time_stamp,User_id,Id_wisata,Rating,Nama_wisata,Genre,Rating_total
1/5/2022 21:16,Lisa Rahmawati ,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:16,Lisa Rahmawati ,5,3,pantai galesong,alam,69
1/5/2022 21:16,Lisa Rahmawati ,6,4,wisata londa,budaya,71
1/5/2022 21:16,Lisa Rahmawati ,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:16,Lisa Rahmawati ,8,4,tanjung bira,alam,77.4
1/5/2022 21:16,Lisa Rahmawati ,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:16,Lisa Rahmawati ,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:20,Didot,1,4,pantai losari,alam,72
1/5/2022 21:20,Didot,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:20,Didot,3,4,malino,alam,70.8
1/5/2022 21:20,Didot,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:20,Didot,5,3,pantai galesong,alam,69
1/5/2022 21:20,Didot,6,4,wisata londa,budaya,71
1/5/2022 21:20,Didot,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:20,Didot,8,4,tanjung bira,alam,77.4
1/5/2022 21:20,Didot,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:20,Didot,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:31,Anna,1,4,pantai losari,alam,72
1/5/2022 21:31,Anna,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:31,Anna,3,4,malino,alam,70.8
1/5/2022 21:31,Anna,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:31,Anna,5,3,pantai galesong,alam,69
1/5/2022 21:31,Anna,6,4,wisata londa,budaya,71
1/5/2022 21:31,Anna,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:31,Anna,8,5,tanjung bira,alam,77.4
1/5/2022 21:31,Anna,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:31,Anna,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 21:31,Risna,1,4,pantai losari,alam,72
1/5/2022 21:31,Risna,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 21:31,Risna,3,4,malino,alam,70.8
1/5/2022 21:31,Risna,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:31,Risna,5,3,pantai galesong,alam,69
1/5/2022 21:31,Risna,6,4,wisata londa,budaya,71
1/5/2022 21:31,Risna,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:31,Risna,8,5,tanjung bira,alam,77.4
1/5/2022 21:31,Risna,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:31,Risna,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 21:42,Elio Ram Fahreza,1,4,pantai losari,alam,72
1/5/2022 21:42,Elio Ram Fahreza,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 21:42,Elio Ram Fahreza,3,4,malino,alam,70.8
1/5/2022 21:42,Elio Ram Fahreza,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:42,Elio Ram Fahreza,5,3,pantai galesong,alam,69
1/5/2022 21:42,Elio Ram Fahreza,6,4,wisata londa,budaya,71
1/5/2022 21:42,Elio Ram Fahreza,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:42,Elio Ram Fahreza,8,5,tanjung bira,alam,77.4
1/5/2022 21:42,Elio Ram Fahreza,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:42,Elio Ram Fahreza,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 21:43,Rahman,1,4,pantai losari,alam,72
1/5/2022 21:43,Rahman,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 21:43,Rahman,3,4,malino,alam,70.8
1/5/2022 21:43,Rahman,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:43,Rahman,5,3,pantai galesong,alam,69
1/5/2022 21:43,Rahman,6,4,wisata londa,budaya,71
1/5/2022 21:43,Rahman,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:43,Rahman,8,5,tanjung bira,alam,77.4
1/5/2022 21:43,Rahman,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:43,Rahman,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 22:00,tifa,1,4,pantai losari,alam,72
1/5/2022 22:00,tifa,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 22:00,tifa,3,4,malino,alam,70.8
1/5/2022 22:00,tifa,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 22:00,tifa,5,3,pantai galesong,alam,69
1/5/2022 22:00,tifa,6,4,wisata londa,budaya,71
1/5/2022 22:00,tifa,7,4,museum ne'gandeng,budaya,75
1/5/2022 22:00,tifa,8,5,tanjung bira,alam,77.4
1/5/2022 22:00,tifa,9,4,masjid 99 kubah,religi,76.2
1/5/2022 22:00,tifa,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 22:12,Zahra,1,4,pantai losari,alam,72
1/5/2022 22:12,Zahra,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 22:12,Zahra,3,4,malino,alam,70.8
1/5/2022 22:12,Zahra,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 22:12,Zahra,5,4,pantai galesong,alam,69
1/5/2022 22:12,Zahra,6,4,wisata londa,budaya,71
1/5/2022 22:12,Zahra,7,4,museum ne'gandeng,budaya,75
1/5/2022 22:12,Zahra,8,5,tanjung bira,alam,77.4
1/5/2022 22:12,Zahra,9,4,masjid 99 kubah,religi,76.2
1/5/2022 22:12,Zahra,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 22:12,Appi,1,4,pantai losari,alam,72
1/5/2022 22:12,Appi,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 22:12,Appi,3,4,malino,alam,70.8
1/5/2022 22:12,Appi,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 22:12,Appi,5,4,pantai galesong,alam,69
1/5/2022 22:12,Appi,6,4,wisata londa,budaya,71
1/5/2022 22:12,Appi,7,4,museum ne'gandeng,budaya,75
1/5/2022 22:12,Appi,8,5,tanjung bira,alam,77.4
1/5/2022 22:12,Appi,9,4,masjid 99 kubah,religi,76.2
1/5/2022 22:12,Appi,10,4,benteng somba opu,prasejarah,68.6
1/5/2022 22:21,Dini,1,4,pantai losari,alam,72
1/5/2022 22:21,Dini,2,4,benteng rotterdam,prasejarah,68.2
1/5/2022 22:21,Dini,3,4,malino,alam,70.8
1/5/2022 22:21,Dini,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 22:21,Dini,5,4,pantai galesong,alam,69
1/5/2022 22:21,Dini,6,4,wisata londa,budaya,71
1/5/2022 22:21,Dini,7,4,museum ne'gandeng,budaya,75
1/5/2022 22:21,Dini,8,5,tanjung bira,alam,77.4
1/5/2022 22:21,Dini,9,4,masjid 99 kubah,religi,76.2
